"Carimbo de data/hora","Qual o tipo de atividade de lazer que você mais pratica durante a semana? ","Com que frequência você realiza atividades de lazer por semana? (dias)","Em média, quanto tempo você dedica por dia às suas atividades de lazer? (em minutos) ","Como você avaliaria sua satisfação com o tempo livre disponível na sua rotina semanal? ","Como você avalia o impacto das atividades de lazer no seu bem-estar emocional?","Você costuma praticar atividades de lazer sozinho ou em grupo?","Qual nota você daria para seu nível de felicidade na última semana? (0 a 10)","Em comparação com a semana anterior, como você avalia sua felicidade atual?"
"2025/04/29 1:27:36 PM GMT-3","Jogos","7","+120 minutos","Satisfeito","Grande impacto","Ambos","10","Igual"
"2025/04/29 1:30:12 PM GMT-3","Jogos","4","+120 minutos","Insatisfeito","Grande impacto","Em grupo","9","Igual"
"2025/04/29 1:33:58 PM GMT-3","Jogos","2","45 minutos","Insatisfeito","Grande impacto","Ambos","2","Igual"
"2025/04/29 1:38:36 PM GMT-3","Jogos","5","120 minutos","Neutro","Grande impacto","Ambos","8","Menor"
"2025/04/29 1:42:08 PM GMT-3","Jogos","6","120 minutos","Satisfeito","Grande impacto","Ambos","7","Consideravelmente menor"
"2025/04/29 1:46:21 PM GMT-3","Filmes/Séries","2","120 minutos","Insatisfeito","Grande impacto","Em grupo","8","Igual"
"2025/04/29 2:10:18 PM GMT-3","Jogos","7","+120 minutos","Satisfeito","Impacto moderado","Ambos","7","Igual"
"2025/04/29 2:13:45 PM GMT-3","Jogos","7","120 minutos","Neutro","Grande impacto","Ambos","7","Igual"
"2025/04/29 2:16:56 PM GMT-3","Jogos","3","30 minutos","Insatisfeito","Grande impacto","Ambos","7","Menor"
"2025/04/29 2:38:12 PM GMT-3","Jogos","2","+120 minutos","Insatisfeito","Impacto muito grande","Em grupo","8","Menor"
"2025/04/29 2:39:30 PM GMT-3","Jogos","2","120 minutos","Neutro","Grande impacto","Sozinho","7","Igual"
"2025/04/29 2:41:49 PM GMT-3","Jogos","5","30 minutos","Neutro","Impacto moderado","Ambos","9","Igual"
"2025/04/29 2:52:15 PM GMT-3","Jogos","3","60 minutos","Satisfeito","Impacto moderado","Ambos","9","Igual"
"2025/05/01 5:19:10 PM GMT-3","Passeios ao ar livre","3","60 minutos","Insatisfeito","Grande impacto","Sozinho","7","Menor"
"2025/05/01 5:35:11 PM GMT-3","Jogos","2","60 minutos","Neutro","Impacto muito grande","Sozinho","8","Maior"
"2025/05/01 6:04:40 PM GMT-3","Esportes","2","120 minutos","Satisfeito","Grande impacto","Ambos","7","Menor"
"2025/05/01 6:19:40 PM GMT-3","Jogos","6","120 minutos","Neutro","Impacto moderado","Ambos","4","Igual"
"2025/05/01 6:20:14 PM GMT-3","Leitura","3","30 minutos","Insatisfeito","Grande impacto","Sozinho","7","Igual"
"2025/05/04 11:39:57 AM GMT-3","Leitura","6","30 minutos","Insatisfeito","Grande impacto","Sozinho","7","Igual"
"2025/05/05 11:09:56 AM GMT-3","Leitura","4","60 minutos","Neutro","Impacto moderado","Sozinho","7","Igual"